Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Mauritius,MUS,14.87889667,..,..,..,..,16.20307148,..,..,..,..,15.01183272,15.01177506,14.84558426,15.17960022,15.00618829,14.98251518,14.86280357,14.81559572,14.92622738,14.91383169,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Mexico,MEX,30.40916722,..,..,..,..,23.14446696,..,..,..,..,21.61912278,24.71743397,22.81352392,23.60777306,22.03917349,22.11412862,21.27024268,20.4160723,20.39335761,20.12401203,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,"Micronesia, Fed. Sts.",FSM,11.05677923,..,..,..,..,10.89265862,..,..,..,..,10.52119627,10.37657887,10.26183249,10.70325232,10.19444017,11.72674947,10.25635183,10.1509403,10.39904238,10.38285056,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Moldova,MDA,19.14252217,..,..,..,..,18.4986738,..,..,..,..,18.25907358,18.15842605,17.99705557,17.57367294,16.41710187,16.12818151,14.73766469,13.38884186,13.90585086,13.74739724,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Monaco,MCO,16.23181088,..,..,..,..,15.10886171,..,..,..,..,14.31510805,15.57817932,13.90302297,13.01598782,11.93351121,13.056853,11.42922219,11.51508073,11.75642502,11.66888949,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Mongolia,MNG,27.08689915,..,..,..,..,25.01117947,..,..,..,..,30.13551628,37.96566722,40.46590396,37.88969103,34.76350533,37.15549626,39.37772018,35.95616844,37.47248859,38.05757134,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Montenegro,MNE,28.40976142,..,..,..,..,25.70762668,..,..,..,..,25.15673695,27.80248173,26.06008923,24.01188607,23.74483028,23.35826543,21.21821429,21.91565485,21.67742225,21.25685256,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Morocco,MAR,32.24000904,..,..,..,..,32.57264648,..,..,..,..,32.91817527,31.56370096,30.42396929,29.38557188,29.40059385,32.08758908,30.88602135,34.10665652,33.92957286,35.05284088,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Mozambique,MOZ,22.68514994,..,..,..,..,22.00218626,..,..,..,..,23.25243023,23.61494743,23.59782449,23.70516014,23.55656662,24.01223447,23.12560737,22.13970265,21.54200034,20.77406654,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Myanmar,MMR,33.39348749,..,..,..,..,36.57941224,..,..,..,..,37.52067534,31.16283822,34.9152645,36.13453786,32.27396916,31.18146951,32.41346793,29.10398763,29.57682003,29.43314277,..
